date,product_id,channel,units_sold,revenue_cny,promo_tag,data_label
2026-06-16,SKU-9001,ONLINE-STORE,227,20407.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-17,SKU-9001,ONLINE-STORE,247,22205.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-18,SKU-9001,ONLINE-STORE,254,22834.6,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-19,SKU-9001,ONLINE-STORE,222,19957.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-20,SKU-9001,ONLINE-STORE,243,21845.7,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-21,SKU-9001,ONLINE-STORE,256,23014.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-22,SKU-9001,ONLINE-STORE,211,18968.9,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-23,SKU-9001,ONLINE-STORE,227,20407.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-24,SKU-9001,ONLINE-STORE,242,21755.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-25,SKU-9001,ONLINE-STORE,236,21216.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-26,SKU-9001,ONLINE-STORE,208,18699.2,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-27,SKU-9001,ONLINE-STORE,248,22295.2,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-28,SKU-9001,ONLINE-STORE,242,21755.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-29,SKU-9001,ONLINE-STORE,226,20317.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-06-30,SKU-9001,ONLINE-STORE,211,18968.9,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-01,SKU-9001,ONLINE-STORE,227,20407.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-02,SKU-9001,ONLINE-STORE,252,22654.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-03,SKU-9001,ONLINE-STORE,206,18519.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-04,SKU-9001,ONLINE-STORE,204,18339.6,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-05,SKU-9001,ONLINE-STORE,227,20407.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-06,SKU-9001,ONLINE-STORE,225,20227.5,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-07,SKU-9001,ONLINE-STORE,210,18879,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-08,SKU-9001,ONLINE-STORE,222,19957.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-09,SKU-9001,ONLINE-STORE,251,22564.9,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-10,SKU-9001,ONLINE-STORE,239,21486.1,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-11,SKU-9001,ONLINE-STORE,237,21306.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-12,SKU-9001,ONLINE-STORE,215,19328.5,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-13,SKU-9001,ONLINE-STORE,223,20047.7,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-14,SKU-9001,ONLINE-STORE,212,19058.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-15,SKU-9001,ONLINE-STORE,229,20587.1,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-16,SKU-9001,ONLINE-STORE,213,19148.7,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-17,SKU-9001,ONLINE-STORE,219,19688.1,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-18,SKU-9001,ONLINE-STORE,218,19598.2,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-19,SKU-9001,ONLINE-STORE,216,19418.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-20,SKU-9001,ONLINE-STORE,245,22025.5,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-21,SKU-9001,ONLINE-STORE,257,23104.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-22,SKU-9001,ONLINE-STORE,230,20677,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-23,SKU-9001,ONLINE-STORE,256,23014.4,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-24,SKU-9001,ONLINE-STORE,247,22205.3,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-25,SKU-9001,ONLINE-STORE,243,21845.7,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-26,SKU-9001,ONLINE-STORE,259,23284.1,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-27,SKU-9001,ONLINE-STORE,232,20856.8,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-28,SKU-9001,ONLINE-STORE,200,17980,,SYNTHETIC_GOERTEK_FIXTURE
2026-07-29,SKU-9001,ONLINE-STORE,210,18879,,SYNTHETIC_GOERTEK_FIXTURE
