date,plant_code,material_code,unit_price_cny,order_qty,total_cost_cny,data_label
2026-02-11,PLANT-03,MAT-2203,0.11,280,30.8,SYNTHETIC_GOERTEK_FIXTURE
2026-02-12,PLANT-01,MAT-2201,935,290,271150,SYNTHETIC_GOERTEK_FIXTURE
2026-02-13,PLANT-02,MAT-2202,980,300,294000,SYNTHETIC_GOERTEK_FIXTURE
2026-02-14,PLANT-03,MAT-2203,0.14,310,43.4,SYNTHETIC_GOERTEK_FIXTURE
2026-02-15,PLANT-01,MAT-2201,1070,320,342400,SYNTHETIC_GOERTEK_FIXTURE
2026-02-16,PLANT-02,MAT-2202,1115,330,367950,SYNTHETIC_GOERTEK_FIXTURE
2026-02-17,PLANT-03,MAT-2203,0.1,340,34,SYNTHETIC_GOERTEK_FIXTURE
2026-02-18,PLANT-01,MAT-2201,1205,200,241000,SYNTHETIC_GOERTEK_FIXTURE
2026-02-19,PLANT-02,MAT-2202,1250,210,262500,SYNTHETIC_GOERTEK_FIXTURE
2026-02-20,PLANT-03,MAT-2203,1295,220,284900,SYNTHETIC_GOERTEK_FIXTURE
2026-02-21,PLANT-01,MAT-2201,800,230,184000,SYNTHETIC_GOERTEK_FIXTURE
2026-02-22,PLANT-02,MAT-2202,845,240,202800,SYNTHETIC_GOERTEK_FIXTURE
2026-02-23,PLANT-03,MAT-2203,890,250,222500,SYNTHETIC_GOERTEK_FIXTURE
2026-02-24,PLANT-01,MAT-2201,935,260,243100,SYNTHETIC_GOERTEK_FIXTURE
2026-02-25,PLANT-02,MAT-2202,980,270,264600,SYNTHETIC_GOERTEK_FIXTURE
2026-02-26,PLANT-03,MAT-2203,1025,280,287000,SYNTHETIC_GOERTEK_FIXTURE
2026-02-27,PLANT-01,MAT-2201,1070,290,310300,SYNTHETIC_GOERTEK_FIXTURE
2026-02-28,PLANT-02,MAT-2202,1115,300,334500,SYNTHETIC_GOERTEK_FIXTURE
2026-03-01,PLANT-03,MAT-2203,1160,310,359600,SYNTHETIC_GOERTEK_FIXTURE
2026-03-02,PLANT-01,MAT-2201,1205,320,385600,SYNTHETIC_GOERTEK_FIXTURE
2026-03-03,PLANT-02,MAT-2202,1250,330,412500,SYNTHETIC_GOERTEK_FIXTURE
2026-03-04,PLANT-03,MAT-2203,1295,340,440300,SYNTHETIC_GOERTEK_FIXTURE
2026-03-05,PLANT-01,MAT-2201,800,200,160000,SYNTHETIC_GOERTEK_FIXTURE
2026-03-06,PLANT-02,MAT-2202,845,210,177450,SYNTHETIC_GOERTEK_FIXTURE
2026-03-07,PLANT-03,MAT-2203,890,220,195800,SYNTHETIC_GOERTEK_FIXTURE
2026-03-08,PLANT-01,MAT-2201,935,230,215050,SYNTHETIC_GOERTEK_FIXTURE
2026-03-09,PLANT-02,MAT-2202,980,240,235200,SYNTHETIC_GOERTEK_FIXTURE
2026-03-10,PLANT-03,MAT-2203,1025,250,256250,SYNTHETIC_GOERTEK_FIXTURE
2026-03-11,PLANT-01,MAT-2201,1070,260,278200,SYNTHETIC_GOERTEK_FIXTURE
2026-03-12,PLANT-02,MAT-2202,1115,270,301050,SYNTHETIC_GOERTEK_FIXTURE
2026-03-13,PLANT-03,MAT-2203,1160,280,324800,SYNTHETIC_GOERTEK_FIXTURE
2026-03-14,PLANT-01,MAT-2201,1205,290,349450,SYNTHETIC_GOERTEK_FIXTURE
2026-03-15,PLANT-02,MAT-2202,1250,300,375000,SYNTHETIC_GOERTEK_FIXTURE
2026-03-16,PLANT-03,MAT-2203,1295,310,401450,SYNTHETIC_GOERTEK_FIXTURE
2026-03-17,PLANT-01,MAT-2201,800,320,256000,SYNTHETIC_GOERTEK_FIXTURE
2026-03-18,PLANT-02,MAT-2202,845,330,278850,SYNTHETIC_GOERTEK_FIXTURE
2026-03-19,PLANT-03,MAT-2203,890,340,302600,SYNTHETIC_GOERTEK_FIXTURE
2026-03-20,PLANT-01,MAT-2201,935,200,187000,SYNTHETIC_GOERTEK_FIXTURE
2026-03-21,PLANT-02,MAT-2202,980,210,205800,SYNTHETIC_GOERTEK_FIXTURE
2026-03-22,PLANT-03,MAT-2203,1025,220,225500,SYNTHETIC_GOERTEK_FIXTURE
2026-03-23,PLANT-01,MAT-2201,1070,230,246100,SYNTHETIC_GOERTEK_FIXTURE
2026-03-24,PLANT-02,MAT-2202,1115,240,267600,SYNTHETIC_GOERTEK_FIXTURE
2026-03-25,PLANT-03,MAT-2203,1160,250,290000,SYNTHETIC_GOERTEK_FIXTURE
2026-03-26,PLANT-01,MAT-2201,1205,260,313300,SYNTHETIC_GOERTEK_FIXTURE
2026-03-27,PLANT-02,MAT-2202,1250,270,337500,SYNTHETIC_GOERTEK_FIXTURE
2026-03-28,PLANT-03,MAT-2203,1295,280,362600,SYNTHETIC_GOERTEK_FIXTURE
2026-03-29,PLANT-01,MAT-2201,800,290,232000,SYNTHETIC_GOERTEK_FIXTURE
2026-03-30,PLANT-02,MAT-2202,845,300,253500,SYNTHETIC_GOERTEK_FIXTURE
2026-03-31,PLANT-03,MAT-2203,890,310,275900,SYNTHETIC_GOERTEK_FIXTURE
2026-04-01,PLANT-01,MAT-2201,935,320,299200,SYNTHETIC_GOERTEK_FIXTURE
2026-04-02,PLANT-02,MAT-2202,980,330,323400,SYNTHETIC_GOERTEK_FIXTURE
2026-04-03,PLANT-03,MAT-2203,1025,340,348500,SYNTHETIC_GOERTEK_FIXTURE
