date,line_code,product_id,quantity,revenue_cny,yield_rate,data_label
2026-01-14,LINE-B01,SKU-1003,11046,160995.64,,SYNTHETIC_GOERTEK_FIXTURE
2026-01-15,LINE-A01,SKU-1001,12165,159017.57,0.965,SYNTHETIC_GOERTEK_FIXTURE
2026-01-15,LINE-A02,SKU-1002,12167,175089.47,0.955,SYNTHETIC_GOERTEK_FIXTURE
2026-01-15,,SKU-1003,10783,141108.35,0.944,SYNTHETIC_GOERTEK_FIXTURE
2026-01-18,LINE-A01,SKU-1001,10509,136668.16,0.952,SYNTHETIC_GOERTEK_FIXTURE
2026-01-18,LINE-A02,SKU-1002,12801,191266.79,,SYNTHETIC_GOERTEK_FIXTURE
2026-01-18,LINE-B01,SKU-1003,,114403.99,0.957,SYNTHETIC_GOERTEK_FIXTURE
2026-01-19,LINE-A01,SKU-1001,12959,164939.87,0.945,SYNTHETIC_GOERTEK_FIXTURE
2026-01-19,LINE-A02,SKU-1002,11204,156352.83,0.934,SYNTHETIC_GOERTEK_FIXTURE
2026-01-19,LINE-B01,SKU-1003,12291,157372.98,0.966,SYNTHETIC_GOERTEK_FIXTURE
2026-01-20,LINE-A01,SKU-1001,,164311.07,0.947,SYNTHETIC_GOERTEK_FIXTURE
2026-01-20,LINE-A02,SKU-1002,9954,140275.07,0.942,SYNTHETIC_GOERTEK_FIXTURE
2026-01-20,LINE-B01,SKU-1003,10596,135099.39,0.947,SYNTHETIC_GOERTEK_FIXTURE
2026-01-21,LINE-A01,,11572,160976.78,0.953,SYNTHETIC_GOERTEK_FIXTURE
2026-01-21,LINE-A02,SKU-1002,10715,149959.66,0.943,SYNTHETIC_GOERTEK_FIXTURE
2026-01-21,LINE-B01,SKU-1003,9351,,0.932,SYNTHETIC_GOERTEK_FIXTURE
2026-01-22,LINE-A01,SKU-1001,9068,136364.12,0.966,SYNTHETIC_GOERTEK_FIXTURE
2026-01-22,LINE-A02,SKU-1002,12273,180831.28,,SYNTHETIC_GOERTEK_FIXTURE
2026-01-22,LINE-B01,SKU-1003,9541,126851.8,0.942,SYNTHETIC_GOERTEK_FIXTURE
2026-01-25,LINE-A01,SKU-1001,9525,127492.11,0.969,SYNTHETIC_GOERTEK_FIXTURE
2026-01-25,,SKU-1002,12867,191258.06,0.955,SYNTHETIC_GOERTEK_FIXTURE
2026-01-25,LINE-B01,SKU-1003,11949,173318.52,0.969,SYNTHETIC_GOERTEK_FIXTURE
2026-01-26,LINE-A01,SKU-1001,11592,167628.31,,SYNTHETIC_GOERTEK_FIXTURE
2026-01-26,LINE-A02,SKU-1002,,157921.48,0.965,SYNTHETIC_GOERTEK_FIXTURE
2026-01-26,LINE-B01,SKU-1003,10555,143697.59,0.941,SYNTHETIC_GOERTEK_FIXTURE
2026-01-27,LINE-A01,SKU-1001,11578,145642.59,0.933,SYNTHETIC_GOERTEK_FIXTURE
2026-01-27,LINE-A02,SKU-1002,10064,140058.72,0.932,SYNTHETIC_GOERTEK_FIXTURE
2026-01-27,LINE-B01,SKU-1003,,172587.3,0.942,SYNTHETIC_GOERTEK_FIXTURE
2026-01-28,LINE-A01,SKU-1001,9835,131303.53,0.94,SYNTHETIC_GOERTEK_FIXTURE
2026-01-28,LINE-A02,SKU-1002,11364,163024.52,0.933,SYNTHETIC_GOERTEK_FIXTURE
2026-01-28,LINE-B01,,9351,127766.01,0.933,SYNTHETIC_GOERTEK_FIXTURE
2026-01-29,LINE-A01,SKU-1001,10037,145831.95,0.948,SYNTHETIC_GOERTEK_FIXTURE
2026-01-29,LINE-A02,SKU-1002,10664,,0.956,SYNTHETIC_GOERTEK_FIXTURE
2026-01-29,LINE-B01,SKU-1003,10851,162108.74,0.945,SYNTHETIC_GOERTEK_FIXTURE
