date,line_code,shift,output_qty,data_label
2026-03-21,LINE-F03,DAY,720,SYNTHETIC_GOERTEK_FIXTURE
2026-03-21,LINE-F04,NIGHT,740,SYNTHETIC_GOERTEK_FIXTURE
2026-03-22,LINE-F01,DAY,760,SYNTHETIC_GOERTEK_FIXTURE
2026-03-22,LINE-F02,NIGHT,780,SYNTHETIC_GOERTEK_FIXTURE
2026-03-23,LINE-F03,DAY,800,SYNTHETIC_GOERTEK_FIXTURE
2026-03-23,LINE-F04,NIGHT,820,SYNTHETIC_GOERTEK_FIXTURE
2026-03-24,LINE-F01,DAY,840,SYNTHETIC_GOERTEK_FIXTURE
2026-03-24,LINE-F02,NIGHT,860,SYNTHETIC_GOERTEK_FIXTURE
2026-03-25,LINE-F03,DAY,880,SYNTHETIC_GOERTEK_FIXTURE
2026-03-25,LINE-F04,NIGHT,900,SYNTHETIC_GOERTEK_FIXTURE
2026-03-26,LINE-F01,DAY,920,SYNTHETIC_GOERTEK_FIXTURE
2026-03-26,LINE-F02,NIGHT,940,SYNTHETIC_GOERTEK_FIXTURE
2026-03-27,LINE-F03,DAY,600,SYNTHETIC_GOERTEK_FIXTURE
2026-03-27,LINE-F04,NIGHT,620,SYNTHETIC_GOERTEK_FIXTURE
2026-03-28,LINE-F01,DAY,640,SYNTHETIC_GOERTEK_FIXTURE
2026-03-28,LINE-F02,NIGHT,660,SYNTHETIC_GOERTEK_FIXTURE
2026-03-29,LINE-F03,DAY,680,SYNTHETIC_GOERTEK_FIXTURE
2026-03-29,LINE-F04,NIGHT,700,SYNTHETIC_GOERTEK_FIXTURE
2026-03-30,LINE-F01,DAY,720,SYNTHETIC_GOERTEK_FIXTURE
2026-03-30,LINE-F02,NIGHT,740,SYNTHETIC_GOERTEK_FIXTURE
2026-03-31,LINE-F03,DAY,760,SYNTHETIC_GOERTEK_FIXTURE
2026-03-31,LINE-F04,NIGHT,780,SYNTHETIC_GOERTEK_FIXTURE
2026-04-01,LINE-F01,DAY,800,SYNTHETIC_GOERTEK_FIXTURE
2026-04-01,LINE-F02,NIGHT,820,SYNTHETIC_GOERTEK_FIXTURE
2026-04-02,LINE-F03,DAY,840,SYNTHETIC_GOERTEK_FIXTURE
2026-04-02,LINE-F04,NIGHT,860,SYNTHETIC_GOERTEK_FIXTURE
2026-04-03,LINE-F01,DAY,880,SYNTHETIC_GOERTEK_FIXTURE
2026-04-03,LINE-F02,NIGHT,900,SYNTHETIC_GOERTEK_FIXTURE
2026-04-04,LINE-F03,DAY,920,SYNTHETIC_GOERTEK_FIXTURE
2026-04-04,LINE-F04,NIGHT,940,SYNTHETIC_GOERTEK_FIXTURE
2026-04-05,LINE-NEW-05,DAY,600,SYNTHETIC_GOERTEK_FIXTURE
2026-04-05,LINE-NEW-06,NIGHT,620,SYNTHETIC_GOERTEK_FIXTURE
2026-04-06,LINE-NEW-07,DAY,640,SYNTHETIC_GOERTEK_FIXTURE
2026-04-06,LINE-NEW-05,NIGHT,660,SYNTHETIC_GOERTEK_FIXTURE
2026-04-07,LINE-NEW-06,DAY,680,SYNTHETIC_GOERTEK_FIXTURE
2026-04-07,LINE-NEW-07,NIGHT,700,SYNTHETIC_GOERTEK_FIXTURE
2026-04-08,LINE-NEW-05,DAY,720,SYNTHETIC_GOERTEK_FIXTURE
2026-04-08,LINE-NEW-06,NIGHT,740,SYNTHETIC_GOERTEK_FIXTURE
