date,line_code,sku_id,produced_qty,defect_rate,data_label
2026-05-03,LINE-X02,SKU-5003,550,0.0424,SYNTHETIC_GOERTEK_FIXTURE
2026-05-04,LINE-X03,SKU-5004,575,0.028,SYNTHETIC_GOERTEK_FIXTURE
2026-05-05,LINE-X01,SKU-5001,600,0.0429,SYNTHETIC_GOERTEK_FIXTURE
2026-05-06,LINE-X02,SKU-5002,625,0.0463,SYNTHETIC_GOERTEK_FIXTURE
2026-05-07,LINE-X03,SKU-5003,650,0.0493,SYNTHETIC_GOERTEK_FIXTURE
2026-05-08,LINE-X01,SKU-5004,675,0.0336,SYNTHETIC_GOERTEK_FIXTURE
2026-05-10,LINE-X02,SKU-5001,700,0.0223,SYNTHETIC_GOERTEK_FIXTURE
2026-05-11,LINE-X03,SKU-5002,725,0.027,SYNTHETIC_GOERTEK_FIXTURE
2026-05-11,LINE-X03,SKU-5002,725,0.027,SYNTHETIC_GOERTEK_FIXTURE
2026-05-12,LINE-X02,SKU-5004,775,0.0355,SYNTHETIC_GOERTEK_FIXTURE
2026-05-13,LINE-X03,SKU-5001,800,0.0496,SYNTHETIC_GOERTEK_FIXTURE
2026-05-14,LINE-X01,SKU-5002,825,0.0353,SYNTHETIC_GOERTEK_FIXTURE
2026-05-15,LINE-X02,SKU-5003,850,0.0205,SYNTHETIC_GOERTEK_FIXTURE
2026-05-17,LINE-X03,SKU-5004,875,0.0408,SYNTHETIC_GOERTEK_FIXTURE
2026-05-18,LINE-X01,SKU-5001,900,0.0269,SYNTHETIC_GOERTEK_FIXTURE
2026-05-19,LINE-X02,SKU-5002,925,0.0224,SYNTHETIC_GOERTEK_FIXTURE
2026-05-20,LINE-X03,SKU-5003,950,0.0284,SYNTHETIC_GOERTEK_FIXTURE
2026-05-21,LINE-X01,SKU-5004,975,0.0276,SYNTHETIC_GOERTEK_FIXTURE
2026-05-22,LINE-X02,SKU-5001,500,0.0369,SYNTHETIC_GOERTEK_FIXTURE
2026-05-24,LINE-X03,SKU-5002,525,0.0426,SYNTHETIC_GOERTEK_FIXTURE
2026-05-25,LINE-X01,SKU-5003,550,0.0382,SYNTHETIC_GOERTEK_FIXTURE
2026-05-26,LINE-X02,SKU-5004,575,0.0303,SYNTHETIC_GOERTEK_FIXTURE
2026-05-27,LINE-X03,SKU-5001,600,0.0311,SYNTHETIC_GOERTEK_FIXTURE
2026-05-28,LINE-X01,SKU-5002,625,0.0277,SYNTHETIC_GOERTEK_FIXTURE
2026-05-29,LINE-X02,SKU-5003,650,0.0308,SYNTHETIC_GOERTEK_FIXTURE
2026-05-31,LINE-X03,SKU-5004,675,0.0303,SYNTHETIC_GOERTEK_FIXTURE
2026-06-01,LINE-X01,SKU-5001,700,0.0276,SYNTHETIC_GOERTEK_FIXTURE
2026-06-02,LINE-X02,SKU-5002,725,0.03,SYNTHETIC_GOERTEK_FIXTURE
2026-06-03,LINE-X03,SKU-5003,750,0.0346,SYNTHETIC_GOERTEK_FIXTURE
2026-06-04,LINE-X01,SKU-5004,775,0.0428,SYNTHETIC_GOERTEK_FIXTURE
2026-06-05,LINE-X02,SKU-5001,800,0.0397,SYNTHETIC_GOERTEK_FIXTURE
2026-06-07,LINE-X03,SKU-5002,825,0.0358,SYNTHETIC_GOERTEK_FIXTURE
2026-06-08,LINE-X01,SKU-5003,850,0.0236,SYNTHETIC_GOERTEK_FIXTURE
2026-06-09,LINE-X02,SKU-5004,875,0.0481,SYNTHETIC_GOERTEK_FIXTURE
2026-06-10,LINE-X03,SKU-5001,900,0.0215,SYNTHETIC_GOERTEK_FIXTURE
2026-06-11,LINE-X01,SKU-5002,925,0.0459,SYNTHETIC_GOERTEK_FIXTURE
2026-06-12,LINE-X02,SKU-5003,950,0.0231,SYNTHETIC_GOERTEK_FIXTURE
2026-06-14,LINE-X03,SKU-5004,975,0.0397,SYNTHETIC_GOERTEK_FIXTURE
